LocationType,Location,TimeFrame,DataFormat,Data
County,Bradley,2019,Number,2083
County,Bradley,2019,Percent,0.33953
County,Campbell,1999,Percent,0.392
County,Campbell,2000,Percent,0.37
County,Campbell,2001,Percent,0.377
County,Campbell,2002,Percent,0.385
County,Campbell,2003,Percent,0.378
County,Campbell,2004,Percent,0.365
County,Campbell,2005,Percent,0.359
County,Campbell,2006,Percent,0.358
County,Campbell,2007,Percent,0.35375
County,Campbell,2008,Percent,0.37212
County,Campbell,1999,Number,1129
County,Campbell,2000,Number,1074
County,Campbell,2001,Number,1072
County,Campbell,2002,Number,1100
County,Campbell,2003,Number,1084
County,Campbell,2004,Number,1054
County,Campbell,2005,Number,1041
County,Campbell,2006,Number,1040
County,Campbell,2007,Number,1028
County,Campbell,2008,Number,1086
County,Campbell,2009,Number,1138
County,Campbell,2009,Percent,0.3886
County,Campbell,2015,Number,1184
County,Campbell,2015,Percent,0.56624
County,Campbell,2014,Number,1204
County,Campbell,2014,Percent,0.5747
County,Campbell,2013,Number,1478
County,Campbell,2013,Percent,0.69553
County,Campbell,2012,Number,1457
County,Campbell,2012,Percent,0.65366
County,Campbell,2011,Number,1465
County,Campbell,2011,Percent,0.6514
County,Campbell,2010,Number,1555
County,Campbell,2010,Percent,0.66968
County,Campbell,2016,Number,1124
County,Campbell,2016,Percent,0.53169
County,Campbell,2017,Number,972
County,Campbell,2017,Percent,0.45
County,Campbell,2018,Number,1059
County,Campbell,2018,Percent,0.48467
County,Campbell,2019,Number,996
County,Campbell,2019,Percent,0.45584
County,Cannon,1999,Percent,0.271
County,Cannon,2000,Percent,0.253
County,Cannon,2001,Percent,0.256
County,Cannon,2002,Percent,0.253
County,Cannon,2003,Percent,0.244
County,Cannon,2004,Percent,0.205
County,Cannon,2005,Percent,0.232
County,Cannon,2006,Percent,0.229
County,Cannon,2007,Percent,0.30778
County,Cannon,2008,Percent,0.33072
County,Cannon,1999,Number,280
County,Cannon,2000,Number,267
County,Cannon,2001,Number,269
County,Cannon,2002,Number,267
County,Cannon,2003,Number,259
County,Cannon,2004,Number,220
County,Cannon,2005,Number,250
County,Cannon,2006,Number,250
County,Cannon,2007,Number,273
County,Cannon,2008,Number,295
County,Cannon,2009,Number,330
County,Cannon,2009,Percent,0.3663
County,Cannon,2015,Number,318
County,Cannon,2015,Percent,0.44538
County,Cannon,2014,Number,325
County,Cannon,2014,Percent,0.43742
County,Cannon,2013,Number,414
County,Cannon,2013,Percent,0.5831
County,Cannon,2012,Number,366
County,Cannon,2012,Percent,0.50833
County,Cannon,2011,Number,478
County,Cannon,2011,Percent,0.64161
