Partners,Date,NB,1,2,3,4,5,6,Pullups,Total,Running Total,Ever to Date,Year to Date,,
McKissick Middle School,10/16/2020,0,150,150,200,150,150,200,,1000,68375,3937399,,,
Haywood Elementary,10/19/2020,0,150,150,200,200,200,200,,1100,69475,3938499,,,
Glencliff High School,10/19/2020,0,150,150,200,200,200,200,,1100,70575,3939599,,,
Whitsitt Elementary,10/19/2020,0,150,150,200,200,200,200,,1100,71675,3940699,,,
Antioch High School,10/19/2020,0,150,250,200,200,200,200,,1200,72875,3941899,,,
J.E. Moss Elementary,10/19/2020,0,150,150,200,100,300,100,,1000,73875,3942899,,,
Tom Joy Elementary,10/20/2020,0,150,150,200,200,200,200,,1100,74975,3943999,,,
Stratford High School,10/20/2020,0,300,300,300,300,300,300,,1800,76775,3945799,,,
H G Hill Middle School,10/20/2020,0,150,150,200,200,200,200,,1100,77875,3946899,,,
Hillwood High School,10/20/2020,0,450,375,600,700,800,800,,3725,81600,3950624,,,
Monroe Harding,10/20/2020,150,450,0,150,750,600,1200,1260,4560,86160,3955184,,,
McGavock High School,10/21/2020,0,450,450,600,600,750,750,,3600,89760,3958784,,,
Cole Elementary,10/21/2020,0,150,150,200,200,200,200,,1100,90860,3959884,,,
Fall Hamilton Elementary,10/21/2020,0,150,150,125,200,200,200,,1025,91885,3960909,,,
Napier Elementary,10/21/2020,0,150,150,125,200,200,200,,1025,92910,3961934,,,
McMurray Middle School,10/21/2020,0,150,150,150,150,200,200,,1000,93910,3962934,,,
Tusculum Elementary,10/21/2020,0,150,150,150,150,200,200,,1000,94910,3963934,,,
Overton High School,10/21/2020,150,150,150,150,150,200,200,,1150,96060,3965084,,,
NICE Highlands Apartments,10/21/2020,300,450,600,725,725,800,800,,4400,100460,3969484,,,
Legacy Mission Village,10/21/2020,0,750,750,1500,2250,2300,2250,,9800,110260,3979284,,,
Lebanon Special School District,10/21/2020,150,125,350,375,600,675,625,,2900,113160,3982184,,,
Robert Churchwell Elementary,10/26/2020,150,150,150,150,150,200,200,,1150,114310,3983334,,,
KIPP Academy Nashville,10/26/2020,0,150,150,150,150,200,200,,1000,115310,3984334,,,
Dupont Elementary School,10/26/2020,0,150,150,125,150,200,200,,975,116285,3985309,,,
Madison Middle School,10/26/2020,0,0,0,0,0,300,300,,600,116885,3985909,,,
Ivanetta H. Davis Early Learning Center,10/26/2020,0,150,150,150,150,200,200,,1000,117885,3986909,,,
Jones Paideia Elementary Magnet School,10/26/2020,0,0,0,0,300,300,400,,1000,118885,3987909,,,
Whites Creek High School,10/27/2020,0,150,0,0,0,0,200,,350,119235,3988259,,,
Catholic Charities,10/27/2020,675,750,750,1000,1000,1000,1000,,6175,125410,3994434,,,
McKissick Middle School,10/27/2020,0,200,150,200,200,200,200,,1150,126560,3995584,,,
Columbia Pediatric Clinic Inc,10/27/2020,25,100,50,200,150,625,325,,1475,128035,3997059,,,
McGavock High School,10/28/2020,0,400,450,600,600,750,750,,3550,131585,4000609,,,
Hillwood High School,10/28/2020,0,400,375,700,800,1100,1050,,4425,136010,4005034,"1,688,384",,
Martha O'Bryan,10/28/2020,0,0,0,400,500,500,500,,1900,137910,4006934,,,
Mercy Williamson County Clinic,10/29/2020,0,450,450,500,500,500,500,,2900,140810,4009834,,,
Connectus Priest Lake,10/29/2020,0,150,150,600,600,600,600,,2700,143510,4012534,"1,695,884",,
Total Health Medical And Dental Care,10/31/2020,50,100,50,50,175,300,250,,975,144485,4013509,"1,696,859",2889.7,65
Haywood Elementary,11/2/2020,0,100,75,200,200,300,350,,1225,1225,4014734,,65,
Antioch High School,11/2/2020,0,0,0,0,200,200,250,,650,1875,4015384,,,
Glencliff High School,11/2/2020,0,0,150,150,150,200,250,,900,2775,4016284,"1,699,634",,
KIPP Academy Nashville,11/3/2020,0,200,150,300,300,300,250,,1500,4275,4017784,,1735000,
KIPP Nashville College Prep,11/3/2020,0,150,100,200,200,200,200,,1050,5325,4018834,,,
McGavock High School,11/4/2020,300,200,400,400,600,600,600,,3100,8425,4021934,,,
Hillwood High School,11/4/2020,0,300,400,600,700,800,750,,3550,11975,4025484,,,
Cole Elementary,11/4/2020,0,0,0,0,250,300,250,,800,12775,4026284,,,
J.E. Moss Elementary,11/4/2020,0,0,0,100,250,200,250,,800,13575,4027084,,,
NICE Highlands Apartments,11/4/2020,300,400,600,600,600,800,850,,4150,17725,4031234,,,
Connectus Vine Hill,11/4/2020,75,150,150,700,600,600,600,,2875,20600,4034109,,,
H G Hill Middle School,11/5/2020,0,150,150,200,200,300,250,,1250,21850,4035359,,,
Shwab Elementary School,11/5/2020,0,150,150,200,150,200,200,,1050,22900,4036409,,,
Stratford High School,11/5/2020,0,200,200,200,200,200,250,,1250,24150,4037659,,,
Tom Joy Elementary,11/5/2020,150,150,150,200,200,0,0,,850,25000,4038509,,,
Neighborhood Health Madison,11/5/2020,450,650,150,850,750,1000,750,,4600,29600,4043109,,,
Hull Jackson Elementary,11/9/2020,0,150,150,0,300,300,250,,1150,30750,4044259,,,
Jere Baxter Middle School,11/9/2020,0,150,150,150,300,300,300,,1350,32100,4045609,,,
Maplewood High School,11/9/2020,175,0,0,0,0,400,0,,575,32675,4046184,,,
KIPP Kirkpatrick Elementary,11/9/2020,0,275,300,300,300,0,0,,1175,33850,4047359,,,
Hillwood High School,11/10/2020,0,200,300,400,600,600,750,,2850,36700,4050209,,,
Catholic Charities,11/10/2020,600,700,700,1050,1050,1000,1000,,6100,42800,4056309,,,
Whites Creek High School,11/10/2020,150,0,0,300,0,0,0,,450,43250,4056759,,,
McKissick Middle School,11/10/2020,0,200,200,300,450,500,500,,2150,45400,4058909,,,
Stratford High School,11/10/2020,25,50,0,225,125,48,149,,622,46022,4059531,,,
Connectus Priest Lake,11/10/2020,0,0,600,600,600,600,0,,2400,47800,4061931,,,
Connectus Vine Hill,11/10/2020,0,0,600,600,600,600,750,,3150,50950,4065081,,,
McGavock High School,11/11/2020,150,300,400,500,600,600,750,,3300,54250,4068381,"1,751,731",,
Legacy Mission Village,11/12/2020,0,525,675,1500,2400,2400,2500,,10000,64250,4078381,,,
Cole Elementary,11/13/2020,75,150,300,300,450,500,500,,2275,66525,4080656,,91,
Hispanic Family Foundation,11/14/2020,75,50,225,375,375,600,800,,2500,69025,4083156,,,
Haywood Elementary,11/16/2020,0,100,150,150,450,500,500,,1850,70875,4085006,,,
Antioch High School,11/16/2020,0,225,300,0,450,500,500,,1975,72850,4086981,,,
J.E. Moss Elementary,11/16/2020,0,0,0,0,300,400,500,,1200,74050,4088181,,,
Glencliff High School,11/16/2020,0,250,250,0,450,500,500,,1950,76000,4090131,,,
Monroe Harding,11/16/2020,0,300,300,450,900,400,500,912,3762,79762,4093893,,,
Hillwood High School,11/17/2020,0,300,300,300,500,0,1000,,2400,82162,4096293,,,
H G Hill Middle School,11/17/2020,0,150,200,225,200,200,250,,1225,83387,4097518,,,
Stratford High School,11/17/2020,0,150,150,150,300,0,350,,1100,84487,4098618,,,
Tom Joy Elementary,11/17/2020,150,300,300,300,0,0,0,,1050,85537,4099668,,,
Shwab Elementary School,11/17/2020,0,200,300,0,300,100,200,,1100,86637,4100768,,,
Dupont Elementary School,11/17/2020,0,0,0,300,450,0,500,,1250,87887,4102018,,,
J.E. Moss Elementary,11/17/2020,0,300,600,600,600,1000,1000,,4100,91987,4106118,,,
McGavock High School,11/18/2020,150,275,450,150,600,600,750,,2975,94962,4109093,,,
Fall Hamilton Elementary,11/18/2020,0,0,0,0,250,200,250,,700,95662,4109793,,,
Glenview Elementary,11/18/2020,0,250,300,200,0,0,250,,1000,96662,4110793,,,
Cole Elementary,11/18/2020,0,0,200,0,250,300,250,,1000,97662,4111793,,,
Tusculum Elementary,11/18/2020,0,0,0,200,150,200,0,,550,98212,4112343,,,
Overton High School,11/18/2020,150,300,300,0,0,0,0,,750,98962,4113093,,,
Antioch High School,11/18/2020,75,325,225,550,950,850,925,,3900,102862,4116993,,,
NICE Highlands Apartments,11/19/2020,0,600,600,600,600,800,750,,3950,106812,4120943,,,
Legacy Mission Village,11/19/2020,0,450,600,1050,2400,2400,2500,,9400,116212,4130343,,,
McKissick Middle School,11/20/2020,275,600,500,600,600,500,500,,3575,119787,4133918,"1,817,268",,
"Knowledge Academies, Inc.",11/21/2020,0,25,25,100,75,75,225,,525,120312,4134443,,,
Madison Middle School,11/23/2020,0,300,0,300,0,0,0,,600,120912,4135043,,,
Jere Baxter Middle School,11/23/2020,0,150,200,200,300,200,250,,1300,122212,4136343,,,
Maplewood High School,11/23/2020,75,150,0,200,200,0,250,,875,123087,4137218,,,
KIPP Nashville College Prep,11/23/2020,0,0,150,0,0,0,0,,150,123237,4137368,,,
Jones Paideia Elementary Magnet School,11/23/2020,0,0,0,0,300,200,250,,750,123987,4138118,,,
Dupont Elementary School,11/23/2020,0,150,300,200,300,250,250,,1450,125437,4139568,,,
Pearl Cohn High School,11/23/2020,0,0,0,300,300,250,0,,850,126287,4140418,,,
Hull Jackson Elementary,11/23/2020,0,300,300,300,300,300,250,,1750,128037,4142168,,,
KIPP Academy Nashville,11/23/2020,0,150,300,150,300,200,250,,1350,129387,4143518,,,
KIPP Nashville College Prep,11/23/2020,0,300,150,300,300,200,250,,1500,130887,4145018,,,
Martha O'Bryan,11/23/2020,0,150,200,300,600,500,500,,2250,133137,4147268,,,
Ascension Saint Thomas,11/23/2020,2500,1350,1300,0,0,0,0,,5150,138287,4152418,,,
Catholic Charities,11/24/2020,700,750,750,1200,600,900,1000,,5900,144187,4158318,,,
Whites Creek High School,11/24/2020,0,0,0,300,150,200,0,,650,144837,4158968,,,
Haynes Middle School,11/24/2020,0,25,0,50,25,25,25,,150,144987,4159118,,,
Nurses for Newborns,11/24/2020,0,300,0,300,150,200,0,96,1046,146033,4160164,,,
McGavock High School,11/25/2020,0,300,450,550,600,600,600,,3100,149133,4163264,"1,846,614",,
McKissick Middle School,11/25/2020,0,150,150,150,275,300,250,,1275,150408,4164539,,,
Haywood Elementary,,,,,,,,,,,150408,4164539,,,
Antioch High School,,,,,,,,,,,,,,,
J.E. Moss Elementary,,,,,,,,,,,,,,,
Glencliff High School,,,,,,,,,,,,,,,
