LocationType,Location,TimeFrame,DataFormat,Data
County,Cannon,2011,Percent,0.41509
County,Cannon,2012,Number,1217.41667
County,Cannon,2012,Percent,0.41965
County,Cannon,2013,Number,1096.5
County,Cannon,2013,Percent,0.38759
County,Cannon,2014,Number,1039.75
County,Cannon,2014,Percent,0.3619
County,Cannon,2015,Number,961.83333
County,Cannon,2015,Percent,0.33478
County,Cannon,2016,Number,882.75
County,Cannon,2016,Percent,0.30726
County,Cannon,2017,Number,951.08333
County,Cannon,2017,Percent,0.31735
County,Cannon,2018,Number,814.91667
County,Cannon,2018,Percent,0.26623
County,Cannon,2019,Number,829
County,Cannon,2019,Percent,0.26725
County,Carroll,1999,Percent,0.169
County,Carroll,2000,Percent,0.168
County,Carroll,2001,Percent,0.186
County,Carroll,2002,Percent,0.227
County,Carroll,2003,Percent,0.272
County,Carroll,2004,Percent,0.293
County,Carroll,2005,Percent,0.296
County,Carroll,2006,Percent,0.298
County,Carroll,2007,Percent,0.30278
County,Carroll,2008,Percent,0.331
County,Carroll,2009,Percent,0.37931
County,Carroll,1999,Number,1197
County,Carroll,2000,Number,1205
County,Carroll,2001,Number,1270
County,Carroll,2002,Number,1548
County,Carroll,2003,Number,1860
County,Carroll,2004,Number,2001
County,Carroll,2005,Number,2026
County,Carroll,2006,Number,2037
County,Carroll,2007,Number,2071
County,Carroll,2008,Number,2134
County,Carroll,2009,Number,2447
County,Carroll,2010,Number,2644
County,Carroll,2010,Percent,0.42289
County,Carroll,2011,Number,2692.66667
County,Carroll,2011,Percent,0.42619
County,Carroll,2012,Number,2703.16667
County,Carroll,2012,Percent,0.42941
County,Carroll,2013,Number,2709.16667
County,Carroll,2013,Percent,0.43023
County,Carroll,2014,Number,2579
County,Carroll,2014,Percent,0.41403
County,Carroll,2015,Number,2486.91667
County,Carroll,2015,Percent,0.41092
County,Carroll,2016,Number,2333.91667
County,Carroll,2016,Percent,0.38564
County,Carroll,2017,Number,2436.83333
County,Carroll,2017,Percent,0.40066
County,Carroll,2018,Number,1941.25
County,Carroll,2018,Percent,0.31611
County,Carroll,2019,Number,1984
County,Carroll,2019,Percent,0.32557
County,Carter,1999,Percent,0.208
County,Carter,2000,Percent,0.209
County,Carter,2001,Percent,0.204
County,Carter,2002,Percent,0.231
County,Carter,2003,Percent,0.27
County,Carter,2004,Percent,0.303
County,Carter,2005,Percent,0.304
County,Carter,2006,Percent,0.297
County,Carter,2007,Percent,0.28549
County,Carter,2008,Percent,0.298
County,Carter,2009,Percent,0.3265
County,Carter,1999,Number,2372
County,Carter,2000,Number,2400
County,Carter,2001,Number,2471
County,Carter,2002,Number,2813
County,Carter,2003,Number,3294
County,Carter,2004,Number,3710
County,Carter,2005,Number,3727
County,Carter,2006,Number,3664
County,Carter,2007,Number,3592
County,Carter,2008,Number,3509
County,Carter,2009,Number,3859
County,Carter,2010,Number,4430
County,Carter,2010,Percent,0.38418
County,Carter,2011,Number,4511.08333
County,Carter,2011,Percent,0.39707
County,Carter,2012,Number,4630.75
County,Carter,2012,Percent,0.40875
County,Carter,2013,Number,4207
County,Carter,2013,Percent,0.37966
County,Carter,2014,Number,4381.66667
County,Carter,2014,Percent,0.40639
County,Carter,2015,Number,4157.5
County,Carter,2015,Percent,0.39177
County,Carter,2016,Number,3996.83333
County,Carter,2016,Percent,0.37663
County,Carter,2017,Number,4397.5
County,Carter,2017,Percent,0.41841
County,Carter,2018,Number,3513.25
County,Carter,2018,Percent,0.34339
County,Carter,2019,Number,3437
County,Carter,2019,Percent,0.34226
County,Cheatham,1999,Percent,0.066
County,Cheatham,2000,Percent,0.059
County,Cheatham,2001,Percent,0.063
County,Cheatham,2002,Percent,0.083
County,Cheatham,2003,Percent,0.108
County,Cheatham,2004,Percent,0.127
County,Cheatham,2005,Percent,0.14
County,Cheatham,2006,Percent,0.146
County,Cheatham,2007,Percent,0.14892
County,Cheatham,2008,Percent,0.167
County,Cheatham,2009,Percent,0.21286
County,Cheatham,1999,Number,649
County,Cheatham,2000,Number,585
County,Cheatham,2001,Number,621
County,Cheatham,2002,Number,841
County,Cheatham,2003,Number,1119
County,Cheatham,2004,Number,1325
County,Cheatham,2005,Number,1485
County,Cheatham,2006,Number,1559
County,Cheatham,2007,Number,1567
