LocationType,Location,TimeFrame,DataFormat,Data
County,Cannon,2011,Number,118.58333
County,Cannon,2011,Percent,0.04016
County,Cannon,2012,Number,126.08333
County,Cannon,2012,Percent,0.04346
County,Cannon,2013,Number,103.25
County,Cannon,2013,Percent,0.0365
County,Cannon,2014,Number,99.16667
County,Cannon,2014,Percent,0.03452
County,Cannon,2015,Number,88.25
County,Cannon,2015,Percent,0.03072
County,Cannon,2016,Number,81
County,Cannon,2016,Percent,0.02819
County,Cannon,2017,Number,79.08333
County,Cannon,2017,Percent,0.02639
County,Cannon,2018,Number,62.33333
County,Cannon,2018,Percent,0.02036
County,Cannon,2019,Number,50
County,Cannon,2019,Percent,0.01612
County,Carroll,1999,Percent,0.054
County,Carroll,2000,Percent,0.062
County,Carroll,2001,Percent,0.069
County,Carroll,2002,Percent,0.083
County,Carroll,2003,Percent,0.094
County,Carroll,2004,Percent,0.099
County,Carroll,2005,Percent,0.091
County,Carroll,2006,Percent,0.083
County,Carroll,2007,Percent,0.08222
County,Carroll,2008,Percent,0.07378
County,Carroll,2009,Percent,0.078
County,Carroll,1999,Number,382
County,Carroll,2000,Number,445
County,Carroll,2001,Number,475
County,Carroll,2002,Number,564
County,Carroll,2003,Number,646
County,Carroll,2004,Number,674
County,Carroll,2005,Number,621
County,Carroll,2006,Number,567
County,Carroll,2007,Number,530
County,Carroll,2008,Number,476
County,Carroll,2009,Number,502
County,Carroll,2010,Number,536
County,Carroll,2010,Percent,0.0857
County,Carroll,2011,Number,531.16667
County,Carroll,2011,Percent,0.08407
County,Carroll,2012,Number,510.08333
County,Carroll,2012,Percent,0.08103
County,Carroll,2013,Number,509.08333
County,Carroll,2013,Percent,0.08085
County,Carroll,2014,Number,454.91667
County,Carroll,2014,Percent,0.07303
County,Carroll,2015,Number,347.58333
County,Carroll,2015,Percent,0.05743
County,Carroll,2016,Number,301.16667
County,Carroll,2016,Percent,0.04976
County,Carroll,2017,Number,256.58333
County,Carroll,2017,Percent,0.04219
County,Carroll,2018,Number,210.33333
County,Carroll,2018,Percent,0.03425
County,Carroll,2019,Number,178
County,Carroll,2019,Percent,0.02921
County,Carter,1999,Percent,0.057
County,Carter,2000,Percent,0.066
County,Carter,2001,Percent,0.064
County,Carter,2002,Percent,0.072
County,Carter,2003,Percent,0.066
County,Carter,2004,Percent,0.068
County,Carter,2005,Percent,0.063
County,Carter,2006,Percent,0.06
County,Carter,2007,Percent,0.06256
County,Carter,2008,Percent,0.04514
County,Carter,2009,Percent,0.042
County,Carter,1999,Number,646
County,Carter,2000,Number,752
County,Carter,2001,Number,772
County,Carter,2002,Number,877
County,Carter,2003,Number,802
County,Carter,2004,Number,832
County,Carter,2005,Number,776
County,Carter,2006,Number,735
County,Carter,2007,Number,734
County,Carter,2008,Number,532
County,Carter,2009,Number,497
County,Carter,2010,Number,519
County,Carter,2010,Percent,0.045
County,Carter,2011,Number,497.75
County,Carter,2011,Percent,0.04381
County,Carter,2012,Number,481.25
County,Carter,2012,Percent,0.04248
County,Carter,2013,Number,473.08333
County,Carter,2013,Percent,0.04269
County,Carter,2014,Number,442.91667
County,Carter,2014,Percent,0.04108
County,Carter,2015,Number,371.33333
County,Carter,2015,Percent,0.03499
County,Carter,2016,Number,296.83333
County,Carter,2016,Percent,0.02797
County,Carter,2017,Number,260.66667
County,Carter,2017,Percent,0.0248
County,Carter,2018,Number,227.58333
County,Carter,2018,Percent,0.02224
County,Carter,2019,Number,216
County,Carter,2019,Percent,0.02151
County,Cheatham,1999,Percent,0.025
County,Cheatham,2000,Percent,0.014
County,Cheatham,2001,Percent,0.016
County,Cheatham,2002,Percent,0.016
County,Cheatham,2003,Percent,0.018
County,Cheatham,2004,Percent,0.021
County,Cheatham,2005,Percent,0.03
County,Cheatham,2006,Percent,0.025
County,Cheatham,2007,Percent,0.02498
County,Cheatham,2008,Percent,0.03208
